DIA,ENERO 1965,ENERO 1966,MAYO 1965,MAYO 1966
1,35,62,71,66
2,29,52,77,60
3,32,46,71,68
4,39,45,90,59
5,43,53,62,70
6,44,47,78,83
7,44,47,52,66
8,49,44,60,61
9,55,30,78,52
10,40,48,92,57
11,35,42,88,63
12,36,27,78,57
13,41,32,80,67
14,37,42,74,64
15,19,41,82,74
16,17,26,87,71
17,16,39,83,68
18,25,38,73,66
19,25,35,70,64
20,38,44,80,84
21,36,42,72,85
22,50,39,80,75
23,47,37,79,85
24,32,38,70,80
25,38,32,79,76
26,44,26,94,84
27,42,36,92,82
28,38,19,83,73
29,27,23,68,82
30,20,38,67,73
31,30,28,74,68
